date,1. open,2. high,3. low,4. close,5. volume
2025-02-20 17:22:00,245.6,245.7,245.6,245.6,203.0
2025-02-20 17:21:00,245.65,245.65,245.62,245.63,192.0
2025-02-20 17:20:00,245.65,245.7,245.65,245.7,10.0
2025-02-20 17:19:00,245.61,245.69,245.6,245.61,111.0
2025-02-20 17:18:00,245.6999,245.7,245.6,245.6,28.0
2025-02-20 17:17:00,245.62,245.7,245.6,245.7,69.0
2025-02-20 17:16:00,245.61,245.64,245.6,245.6,54.0
2025-02-20 17:15:00,245.6,245.6975,245.6,245.67,129.0
2025-02-20 17:14:00,245.6025,245.67,245.6,245.6025,107.0
2025-02-20 17:13:00,245.62,245.67,245.62,245.6683,166.0
2025-02-20 17:12:00,245.6,245.61,245.6,245.6008,87.0
2025-02-20 17:11:00,245.6,245.61,245.6,245.6013,351.0
2025-02-20 17:10:00,245.61,245.61,245.6,245.6,67.0
2025-02-20 17:09:00,245.67,245.67,245.6,245.61,13.0
2025-02-20 17:08:00,245.5,245.63,245.5,245.6,1479.0
2025-02-20 17:07:00,245.61,245.63,245.57,245.61,387.0
2025-02-20 17:06:00,245.62,245.65,245.61,245.61,329.0
2025-02-20 17:05:00,245.6492,245.83,245.6207,245.83,1134957.0
2025-02-20 17:04:00,245.62,245.65,245.62,245.62,29.0
2025-02-20 17:03:00,245.63,245.6699,245.62,245.6699,499.0
2025-02-20 17:02:00,245.65,245.65,245.62,245.62,150.0
2025-02-20 17:01:00,245.69,245.7,245.65,245.67,673.0
2025-02-20 17:00:00,245.72,245.72,245.67,245.67,614.0
2025-02-20 16:59:00,245.67,245.72,245.67,245.72,223.0
2025-02-20 16:58:00,245.71,245.72,245.67,245.71,299.0
2025-02-20 16:57:00,245.68,245.72,245.6619,245.67,1016.0
2025-02-20 16:56:00,245.67,245.72,245.66,245.71,1268.0
2025-02-20 16:55:00,245.72,245.72,245.67,245.68,487.0
2025-02-20 16:54:00,245.7,245.72,245.67,245.71,37.0
